id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
471,Hungary,Arts and humanities,,,,,,,,,Male,Professor,University,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global North
472,Australia,,"Business, management and accounting",,,,Psychology,,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Global North
473,Indonesia,,,,,,,Social sciences,,Vocational education ,Female,Associate professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
474,Spain,,,,,,,Social sciences,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Global North
475,United States of America,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
476,Mexico,,,,,,,Social sciences,,,Male,Professor,University,11-20,Some of these articles were also deposited as preprints*,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global South
477,Australia,,,,"Economics, econometrics and finance",,,,,,Female,Assistant professor,Non-university research institution,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
479,Spain,,,,,,,Social sciences,,,Male,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Global North
480,United States of America,,,,,,,Social sciences,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Global North
481,Chile,,"Business, management and accounting",,,,,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,,,,,,,,,,Global South
482,Canada,,,,,,,Social sciences,,Gerontology,Female,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
483,United States of America,,,,,,,Social sciences,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Global North
488,Brazil,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Global South
490,Argentina,,,,,,,,,History,Male,Postdoctoral researcher,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
492,Haiti,,,,,,,Social sciences,,,Male,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Global South
493,Malaysia,Arts and humanities,,,,,,Social sciences,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Global South
494,Thailand,Arts and humanities,,,,,,Social sciences,,,Female,Associate professor,University,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
495,Brazil,,,,,,,Social sciences,,,Male,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Global South
496,Tunisia,Arts and humanities,,,,,,,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Global South
498,Australia,,,,,,,Social sciences,,,Male,Associate professor,University,3-5,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,Global North
499,Pakistan,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,Business or industry,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
500,Romania,,"Business, management and accounting",,,,,,,,Female,Professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
501,Sweden,,,,,,,Social sciences,,,Female,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Global North
502,South Africa,Arts and humanities,,,,,,Social sciences,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global South
503,Cyprus,,,,,Multidisciplinary,,,,,Male,Phd student/holder,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
504,Saudi Arabia,,,,,,,,,Medicine and dentistry,Female,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global South
505,Australia,Arts and humanities,,,,,,Social sciences,,,Female,Senior lecturer,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
506,Iran (Islamic Republic of),,"Business, management and accounting",,,,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,,,,,,,,,,Global South
507,Greece,,,,,Multidisciplinary,,Social sciences,,,Female,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Global North
508,Czech Republic,,,,,,,,,Social pharmacy,Male,Phd student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Global North
510,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Other,Postdoctoral researcher,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
512,Malaysia,,,,,Multidisciplinary,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global South
513,Namibia,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
515,Switzerland,,,,,,,Social sciences,,,Female,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Global North
516,Czech Republic,,,,,,,Social sciences,,,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Neutral,Global North
517,France,Arts and humanities,,,,,,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Global North
518,Poland,,,,,,,Social sciences,,,Female,Associate professor,University,21+,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
519,Japan,,,,"Economics, econometrics and finance",,,,,,Male,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Global North
521,Switzerland,,,,,,,Social sciences,,,Male,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
522,Germany,,,,,Multidisciplinary,,Social sciences,,,Female,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Global North
524,Spain,,,,,,,Social sciences,,,Female,Professor,University,3-5,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,,,,,,,,,,Global North
525,Jordan,Arts and humanities,,,,,,,,,Female,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Global South
526,Italy,,,,,,,Social sciences,,,Other,Research fellow,Non-university research institution,6-10,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,,,,,,,,,,Global North
527,Pakistan,,,,,,,,,Computer science,Female,Phd student/holder,University,6-10,Some of these articles were also deposited as preprints*,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global South
529,Germany,,,,,,,Social sciences,,,Male,Other,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Global North
530,Poland,,,,,,,Social sciences,,,Male,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Global North
531,Spain,,,,,,,Social sciences,,,Female,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global North
532,Pakistan,,,,,,,Social sciences,,,Male,Assistant professor,University,21+,Some of these articles were also deposited as preprints*,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,,,,,,,,,,Global South
534,Italy,,,,,,,Social sciences,,,Male,Phd student/holder,Business or industry,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Global North
535,the United Kingdom of Great Britain and Northern Ireland,,"Business, management and accounting",,,,,,,,Male,Professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
536,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,Interdisciplinary environmental science,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,,,,,,,,,,Global North
537,United Republic of Tanzania,,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Global South
539,Argentina,Arts and humanities,,,,,,Social sciences,,,Female,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Global South
540,Thailand,,,,,,,Social sciences,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as preprints*,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
541,Germany,,,,,,,Social sciences,,,Female,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Global North
542,Germany,,,,,,,Social sciences,,,Male,Phd student/holder,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
544,Italy,,,,"Economics, econometrics and finance",,,Social sciences,,,Female,Postdoctoral researcher,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Global North
546,Finland,,,,,,,Social sciences,,,Male,Phd student/holder,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Global North
547,Lebanon,,"Business, management and accounting",,,,,,,,Male,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Global South
548,Iran (Islamic Republic of),Arts and humanities,,,,,,Social sciences,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Global South
549,the United Kingdom of Great Britain and Northern Ireland,,,,,Multidisciplinary,,,,,Male,Postdoctoral researcher,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Global North
550,Jordan,Arts and humanities,,,,,,,,,Male,Postdoctoral researcher,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global South
551,Greece,,"Business, management and accounting",,,,,,,,Female,Phd student/holder,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,,,,,,,,,,Global North
552,United States of America,,,,,,,Social sciences,,,Male,Professor,University,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
553,Russian Federation,,,,,,,Social sciences,,,Female,Professor,Non-university research institution,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
554,Greece,,,,,,,Social sciences,,Engineering,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Global North
555,Germany,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Global North
556,Chile,,,,,,,Social sciences,,,Male,Researcher,University,6-10,Some of these articles were also deposited as preprints*,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,,,,,,,,,,Global South
558,United States of America,,,,,,,Social sciences,,,Prefer not to say,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Global North
559,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Prefer not to say,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Global North
560,United States of America,,,,,,,Social sciences,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
561,United States of America,Arts and humanities,,,,Multidisciplinary,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Global North
