id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
469,Germany,,,Finance,,,,Male,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
470,Portugal,Economics and econometrics,,,"General economics, econometrics and finance",,,Female,Professor,University,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
471,Russian Federation,Economics and econometrics,,,,,,Female,Other,Non-university research institution,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,Global North
472,Italy,Economics and econometrics,,,,,,Female,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
473,Morocco,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Business or industry professional,Business or industry,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,Global South
474,Austria,,,,,,Behavioral econommics,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
475,Spain,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
476,Hungary,,,,,,Management,Female,Professor,University,21+,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
478,Nigeria,,,,"General economics, econometrics and finance",,,Male,Phd student/holder,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
479,Poland,Economics and econometrics,,,,,,Female,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
481,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,Innovation,Male,Emeritus,Retired,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
482,Estonia,,,,,,"Energy law and policy, energy markets",Male,Business or industry professional,Business or industry,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Global North
483,Nigeria,,,,,,Political science,Male,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Global South
484,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Global North
485,United States of America,Economics and econometrics,,,,,,Male,Senior researcher,Non-university research institution,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
486,Israel,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,Global North
487,Finland,,,,,,Forestry,Male,Senior researcher,Non-university research institution,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Agree,Neutral,Global North
488,Belgium,,,,,,Accounting,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,,,,,,,,,,Global North
489,Romania,Economics and econometrics,,,,,,Female,Professor,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
490,United States of America,,,Finance,,,,Male,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global North
492,Ethiopia,,,,,Prefer not to say,,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Global South
493,Germany,Economics and econometrics,,,,,,Female,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
494,Germany,,,,,,Marketing,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,Global North
495,Germany,Economics and econometrics,,,,,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,Global North
496,United States of America,Economics and econometrics,,,,,,Female,Business or industry professional,Business or industry,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
497,Bangladesh,,,,,,Business,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Global South
499,Portugal,Economics and econometrics,,,,,,Female,Business or industry professional,Business or industry,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,Global North
501,India,,,,"General economics, econometrics and finance",,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
502,Indonesia,,,,,,Business,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
504,Spain,,,Finance,,,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,Global North
506,India,,,,,,Political science ,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Global South
507,Croatia,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Global North
509,Portugal,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,Global North
510,Germany,,"Economics, econometrics and finance (miscellaneous)",,,,Mathematics,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
512,Germany,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Phd student/holder,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
514,Italy,,,,,,"Management, accounting, finance",Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Global North
515,Australia,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
516,Switzerland,Economics and econometrics,,,,,,Female,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,,,,,,,,,,Global North
517,United States of America,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Assistant professor,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
520,France,Economics and econometrics,,,,,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Global North
522,India,,,,,,Literature,Male,Postdoctoral researcher,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Global South
523,Australia,,,,,,Accounting,Male,Professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,,,,,,,,,,Global North
524,Australia,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,,,,,,,,,,Global North
525,Indonesia,,,,,,Business & accounting,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,,,,,,,,,,Global South
526,United States of America,Economics and econometrics,,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
527,Thailand,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Assistant professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Global South
529,Czech Republic,,,,,Prefer not to say,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
530,Saudi Arabia,,,,,,Entrepreneurship ,Female,Professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,,,,,,,,,,Global South
531,Czech Republic,Economics and econometrics,,,,,,Female,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
532,Netherlands,Economics and econometrics,,,,,,Male,Business or industry professional,Business or industry,1-2,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,,,,,,,,,,Global North
533,Germany,,,Finance,,,Sustainable finance,Male,Phd student/holder,Business or industry,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Global North
535,Belgium,Economics and econometrics,,,,,,Female,Professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Strongly agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
538,Poland,,,,,,Social sciences (sociology/geography),Female,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Global North
540,United States of America,Economics and econometrics,,,,,,Female,Professor,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
541,Germany,Economics and econometrics,,,,,,Male,Postdoctoral researcher,Non-university research institution,3-5,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,Global North
542,Bangladesh,,,,,,Forestry,Male,Business or industry professional,Governmental or international organisation,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global South
543,Germany,Economics and econometrics,,,,,,Female,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
546,Italy,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
547,Greece,Economics and econometrics,,,,,Regional development,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Global North
548,Indonesia,,,,,,Management,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global South
549,the United Kingdom of Great Britain and Northern Ireland,,,Finance,,,,Male,Professor,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
550,Colombia,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
551,Indonesia,,,,"General economics, econometrics and finance",,,Male,Assistant professor,University,21+,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,,,,,,,,,,Global South
552,the United Kingdom of Great Britain and Northern Ireland,,,,"General economics, econometrics and finance",,,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
553,United States of America,Economics and econometrics,,,,,Urban and regional planning,Male,Business or industry professional,Business or industry,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global North
