id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1260,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1258,NPublishedCorTime,PDepositedCorTime,groupTime1259,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1261,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
468,2020-12-04 11:12:48,4.0,en,2020-12-04 11:09:45,2020-12-04 11:12:48,Brunei Darussalam,,No,Yes,No,No,No,,Male,Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,184.38,44.71,,,,,,35.3,,,84.21,,,,,,,,,20.16,,,
469,2020-12-04 11:25:30,4.0,en,2020-12-04 11:20:42,2020-12-04 11:25:30,Germany,,No,No,Yes,No,No,,Male,Postdoctoral researcher,,University,,3-5,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,290.33,41.77,,,,,,21.41,,,208.6,,,,,,,,,18.55,,,
470,2020-12-04 11:25:47,4.0,en,2020-12-04 11:20:49,2020-12-04 11:25:47,Portugal,,Yes,No,No,Yes,No,,Female,Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,299.66,48.43,,,,,,26.61,,,209.23,,,,,,,,,15.39,,,
471,2020-12-04 11:36:04,4.0,en,2020-12-04 11:23:05,2020-12-04 11:36:04,Russian Federation,,Yes,No,No,No,No,,Female,Other,,Non-university research institution,,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,780.49,293.17,,,,,,74.42,,,391.67,,,,,,,,,21.23,,,
472,2020-12-04 11:50:18,4.0,en,2020-12-04 11:26:22,2020-12-04 11:50:18,Italy,,Yes,No,No,No,No,,Female,Associate Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,1437.25,480.27,,,,,,170.04,,,614.75,,,,,,,,,172.19,,,
473,2020-12-04 11:43:03,4.0,en,2020-12-04 11:35:55,2020-12-04 11:43:03,Morocco,,Yes,Yes,No,Yes,No,,Male,Business or industry professional,,Business or industry,,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,429.84,53.95,,,,,,48.75,,,282.12,,,,,,,,,45.02,,,
474,2020-12-04 11:40:24,4.0,en,2020-12-04 11:36:03,2020-12-04 11:40:24,Austria,,No,No,No,No,No,behavioral econommics,Female,Assistant Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,264.69,39.65,,,,,,13.73,,,184.02,,,,,,,,,27.29,,,
475,2020-12-04 11:50:05,4.0,en,2020-12-04 11:47:26,2020-12-04 11:50:05,Spain,,Yes,No,No,No,No,,Male,Professor,,University,,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,160.44,25.49,,,,,,52.93,,,64.86,,,,,,,,,17.16,,,
476,2020-12-04 12:04:22,4.0,en,2020-12-04 11:56:27,2020-12-04 12:04:22,Hungary,,No,No,No,No,No,management,Female,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,476.25,77.23,,,,,,63.94,,,295.41,,,,,,,,,39.67,,,
477,,1.0,en,2020-12-04 11:59:26,2020-12-04 12:06:34,the United Kingdom of Great Britain and Northern Ireland,,Yes,No,No,No,No,Innovation,Male,Professor,,University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.55,427.55,,,,,,,,,,,,,,,,,,,,,
478,2020-12-04 12:07:46,4.0,en,2020-12-04 12:03:15,2020-12-04 12:07:46,Nigeria,,No,No,No,Yes,No,,Male,PhD student,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,271.86,93.02,,,,,,40.91,,,107.63,,,,,,,,,30.3,,,
479,2020-12-04 12:26:36,4.0,en,2020-12-04 12:03:32,2020-12-04 12:26:36,Poland,,Yes,No,No,No,No,,Female,Assistant Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,1385.37,151.54,,,,,,28.01,,,1189.49,,,,,,,,,16.33,,,
480,,,en,2020-12-04 12:47:15,2020-12-04 12:47:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
481,2020-12-04 12:54:20,4.0,en,2020-12-04 12:48:29,2020-12-04 12:54:20,the United Kingdom of Great Britain and Northern Ireland,,Yes,No,No,No,No,Innovation,Male,Other,Emeritus Professor,Other,Retired from University,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,352.11,114.66,,,,,,28.01,,,200.34,,,,,,,,,9.1,,,
482,2020-12-04 13:14:49,4.0,en,2020-12-04 13:06:23,2020-12-04 13:14:49,Estonia,,No,No,No,No,No,"Energy law and policy, energy markets",Male,Business or industry professional,,Business or industry,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,507.86,103.75,,,,,,268.26,,,57.43,,,,,,,,,78.42,,,
483,2020-12-04 13:56:07,4.0,en,2020-12-04 13:46:12,2020-12-04 13:56:07,Nigeria,,No,No,No,No,No,Political Science,Male,Assistant Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,597.28,140.79,,,,,,70.66,,,176.54,,,,,,,,,209.29,,,
484,2020-12-04 14:02:03,4.0,en,2020-12-04 13:56:55,2020-12-04 14:02:03,the United Kingdom of Great Britain and Northern Ireland,,Yes,No,No,No,No,,Male,Associate Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,309.98,50.0,,,,,,45.63,,,179.71,,,,,,,,,34.64,,,
485,2020-12-04 14:14:58,4.0,en,2020-12-04 14:05:14,2020-12-04 14:14:58,United States of America,,Yes,No,No,No,No,,Male,Other,senior researcher,Non-university research institution,,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,585.98,74.4,,,,,,116.75,,,387.35,,,,,,,,,7.48,,,
486,2020-12-04 14:53:44,4.0,en,2020-12-04 14:47:20,2020-12-04 14:53:44,Israel,,Yes,No,No,No,No,,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,386.7,53.74,,,,,,109.78,,,209.88,,,,,,,,,13.3,,,
487,2020-12-04 15:03:42,4.0,en,2020-12-04 15:01:32,2020-12-04 15:03:42,Finland,,No,No,No,No,No,forestry,Male,Other,Senior researcher,Non-university research institution,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Agree,Neutral,133.35,40.96,,,,,,17.12,,,61.64,,,,,,,,,13.63,,,
488,2020-12-04 15:24:29,4.0,en,2020-12-04 15:19:35,2020-12-04 15:24:29,Belgium,,No,No,No,No,No,Accounting,Male,Associate Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,,,,,,,,,,296.47,46.62,,,,,,74.28,,,170.93,,,,,,,,,4.64,,,
489,2020-12-04 15:40:23,4.0,en,2020-12-04 15:26:48,2020-12-04 15:40:23,Romania,,Yes,No,No,No,No,,Female,Professor,,Non-university research institution,,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,817.73,161.13,,,,,,41.63,,,529.4,,,,,,,,,85.57,,,
490,2020-12-04 16:22:01,4.0,en,2020-12-04 16:19:47,2020-12-04 16:22:01,United States of America,,No,No,Yes,No,No,,Male,Associate Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,135.13,40.44,,,,,,28.91,,,58.98,,,,,,,,,6.8,,,
491,,,en,2020-12-04 16:41:41,2020-12-04 16:41:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
492,2020-12-04 16:49:51,4.0,en,2020-12-04 16:43:13,2020-12-04 16:49:51,Ethiopia,,No,No,No,No,Yes,,Male,Assistant Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,328.77,119.19,,,,,,16.51,,,93.99,,,,,,,,,99.08,,,
493,2020-12-04 16:53:46,4.0,en,2020-12-04 16:50:10,2020-12-04 16:53:46,Germany,,Yes,No,No,No,No,,Female,Professor,,University,,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,217.94,31.4,,,,,,10.9,,,164.33,,,,,,,,,11.31,,,
494,2020-12-04 17:59:48,4.0,en,2020-12-04 17:55:16,2020-12-04 17:59:48,Germany,,No,No,No,No,No,Marketing,Male,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,273.36,41.07,,,,,,31.08,,,189.72,,,,,,,,,11.49,,,
495,2020-12-04 18:55:39,4.0,en,2020-12-04 18:48:28,2020-12-04 18:55:39,Germany,,Yes,No,No,No,No,,Male,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,431.72,44.28,,,,,,21.2,,,340.18,,,,,,,,,26.06,,,
496,2020-12-04 19:17:52,4.0,en,2020-12-04 19:12:20,2020-12-04 19:17:52,United States of America,,Yes,No,No,No,No,,Female,Other,Senior Economist ,Other,The World Bank,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,335.01,61.54,,,,,,69.63,,,185.85,,,,,,,,,17.99,,,
497,2020-12-04 20:18:09,4.0,en,2020-12-04 20:13:51,2020-12-04 20:18:09,Bangladesh,,No,No,No,No,No,Business,Male,Associate Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,260.45,36.38,,,,,,106.44,,,75.76,,,,,,,,,41.87,,,
498,,,en,2020-12-04 21:27:21,2020-12-04 21:27:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
499,2020-12-05 00:10:50,4.0,en,2020-12-05 00:06:09,2020-12-05 00:10:50,Portugal,,Yes,No,No,No,No,,Female,Business or industry professional,,Business or industry,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,282.21,71.32,,,,,,26.06,,,154.26,,,,,,,,,30.57,,,
500,,,en,2020-12-05 00:21:52,2020-12-05 00:21:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
501,2020-12-05 03:34:56,4.0,en,2020-12-05 03:30:38,2020-12-05 03:34:56,India,,No,No,No,Yes,No,,Male,Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,259.84,85.67,,,,,,35.38,,,104.55,,,,,,,,,34.24,,,
502,2020-12-05 08:14:35,4.0,en,2020-12-05 08:11:04,2020-12-05 08:14:35,Indonesia,,No,No,No,No,No,Business,Male,Professor,,University,,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,212.77,45.56,,,,,,30.33,,,104.06,,,,,,,,,32.82,,,
503,,2.0,en,2020-12-05 08:51:22,2020-12-05 08:52:57,Hungary,,No,No,No,No,No,Regional Science,Female,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.87,60.35,,,,,,35.52,,,,,,,,,,,,,,,
504,2020-12-05 11:38:27,4.0,en,2020-12-05 11:34:36,2020-12-05 11:38:27,Spain,,No,No,Yes,No,No,,Male,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,232.67,28.56,,,,,,31.24,,,160.74,,,,,,,,,12.13,,,
505,,0.0,en,2020-12-05 12:54:28,2020-12-05 12:56:08,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.56,100.56,,,,,,,,,,,,,,,,,,,,,
506,2020-12-05 13:05:21,4.0,en,2020-12-05 12:55:33,2020-12-05 13:05:21,India,,No,No,No,No,No,Political Science ,Male,Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,590.03,114.65,,,,,,183.78,,,249.33,,,,,,,,,42.27,,,
507,2020-12-05 13:12:37,4.0,en,2020-12-05 13:04:18,2020-12-05 13:12:37,Croatia,,No,Yes,Yes,No,No,,Female,Associate Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,501.65,30.79,,,,,,21.37,,,437.5,,,,,,,,,11.99,,,
508,,2.0,en,2020-12-05 13:49:35,2020-12-05 13:51:21,India,,No,No,No,No,Yes,,Male,Professor,,Other,Management Institute,3-5,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.12,74.68,,,,,,32.44,,,,,,,,,,,,,,,
509,2020-12-05 17:57:13,4.0,en,2020-12-05 17:46:40,2020-12-05 17:57:13,Portugal,,No,Yes,No,No,No,,Female,Associate Professor,,University,,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,634.23,51.79,,,,,,66.41,,,482.29,,,,,,,,,33.74,,,
510,2020-12-05 19:19:34,4.0,en,2020-12-05 19:12:28,2020-12-05 19:19:34,Germany,,No,Yes,No,No,No,Mathematics,Male,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,426.85,96.26,,,,,,87.17,,,208.38,,,,,,,,,35.04,,,
511,,,en,2020-12-05 19:30:53,2020-12-05 19:30:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
512,2020-12-05 20:56:34,4.0,en,2020-12-05 20:53:59,2020-12-05 20:56:34,Germany,,Yes,Yes,No,Yes,No,,Male,PhD student,,University,,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,157.15,42.26,,,,,,16.17,,,83.86,,,,,,,,,14.86,,,
513,,,en,2020-12-06 08:15:14,2020-12-06 08:15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
514,2020-12-06 09:11:52,4.0,en,2020-12-06 09:02:40,2020-12-06 09:11:52,Italy,,No,No,No,No,No,"Management, Accounting, Finance",Male,Associate Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,555.29,86.1,,,,,,236.69,,,191.93,,,,,,,,,40.57,,,
515,2020-12-06 11:18:05,4.0,en,2020-12-06 11:11:48,2020-12-06 11:18:05,Australia,,No,Yes,No,No,No,,Female,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,379.01,27.62,,,,,,34.52,,,311.81,,,,,,,,,5.06,,,
516,2020-12-06 14:12:26,4.0,en,2020-12-06 14:05:50,2020-12-06 14:12:26,Switzerland,,Yes,No,No,No,No,,Female,Postdoctoral researcher,,University,,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,,,,,,,,,,397.6,53.4,,,,,,17.32,,,307.55,,,,,,,,,19.33,,,
517,2020-12-06 16:06:48,4.0,en,2020-12-06 16:02:57,2020-12-06 16:06:48,United States of America,,Yes,Yes,Yes,Yes,No,,Male,Assistant Professor,,University,,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,232.71,57.55,,,,,,20.29,,,141.83,,,,,,,,,13.04,,,
518,,,en,2020-12-06 16:27:32,2020-12-06 16:27:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
520,2020-12-06 16:44:07,4.0,en,2020-12-06 16:36:31,2020-12-06 16:44:07,France,,Yes,No,No,No,No,,Male,Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,457.74,49.29,,,,,,178.06,,,196.07,,,,,,,,,34.32,,,
